動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
伸ばす,伸ばします,伸ばさない,伸ばして,伸展／拉／伸出／留長 (發音: のばす),伸ばした,のばします,伸ばしたい,伸ばせ,のばす
生やす,生やします,生やさない,生やして,使～生長,生やした,はやします,生やしたい,生やせ,はやす
冷やす,冷やします,冷やさない,冷やして,冷凍、冰凍,冷やした,ひやします,冷やしたい,冷やせ,ひやす
増やす,増やします,増やさない,増やして,增加,増やした,ふやします,増やしたい,増やせ,ふやす
減らす,減らします,減らさない,減らして,減少 (發音: へらす),減らした,へらします,減らしたい,減らせ,へらす
燃やす,燃やします,燃やさない,燃やして,燃燒 (發音: もやす),燃やした,もやします,燃やしたい,燃やせ,もやす
揺らす,揺らします,揺らさない,揺らして,搖晃,揺らした,ゆらします,揺らしたい,揺らせ,ゆらす
散らす,散らします,散らさない,散らして,打散／使散亂,散らした,ちらします,散らしたい,散らせ,ちらす
預かる,預かります,預からない,預かって,保管,預かった,あずかります,預かりたい,預かれ,あずかる
動かす,動かします,動かさない,動かして,使其動,動かした,うごかします,動かしたい,動かせ,うごかす
教わる,教わります,教わらない,教わって,向～學習／習得／受教,教わった,おそわります,教わりたい,教われ,おそわる
乾かす,乾かします,乾かさない,乾かして,弄乾／曬乾,乾かした,かわかします,乾かしたい,乾かせ,かわかす
